rank,feasible,pv_kw,wind_kw,dg_kw,batt_kwh,elz_kw,gas_storage_m3,npc,lpsp_pct,gas_violation
321,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
322,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
323,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
324,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
325,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
326,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
327,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
328,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
329,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
330,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
331,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
332,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
333,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
334,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
335,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
336,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
337,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
338,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
339,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
340,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
341,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
342,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
343,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
344,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
345,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
346,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
347,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
348,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
349,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
350,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
351,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
352,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
353,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
354,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
355,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
356,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
357,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
358,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
359,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
360,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
361,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
362,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
363,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
364,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
365,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
366,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
367,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
368,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
369,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
370,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
371,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
372,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
373,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
374,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
375,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
376,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
377,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
378,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
379,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
380,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
381,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
382,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
383,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
384,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
385,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
386,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
387,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
388,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
389,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
390,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
391,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
392,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
393,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
394,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
395,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
396,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
397,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
398,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
399,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
400,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
401,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
402,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
403,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
404,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
405,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
406,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
407,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
408,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
409,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
410,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
411,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
412,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
413,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
414,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
415,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
416,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
417,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
418,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
419,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
420,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
421,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
422,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
423,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
424,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
425,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
426,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
427,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
428,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
429,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
430,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
431,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
432,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
433,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
434,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
435,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
436,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
437,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
438,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
439,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
440,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
441,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
442,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
443,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
444,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
445,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
446,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
447,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
448,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
449,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
450,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
451,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
452,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
453,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
454,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
455,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
456,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
457,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
458,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
459,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
460,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
461,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
462,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
463,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
464,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
465,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
466,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
467,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
468,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
469,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
470,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
471,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
472,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
473,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
474,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
475,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
476,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
477,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
478,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
479,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
480,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
481,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
482,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
483,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
484,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
485,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
486,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
487,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
488,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
489,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
490,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
491,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
492,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
493,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
494,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
495,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
496,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
497,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
498,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
499,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
500,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
